number,name,status
511,API for code transformers,
515,Underscores in Numeric Literals,
513,A Platform Tag for Portable Linux Built Distributions,
512,Migrating from hg.python.org to GitHub,
514,Python registration in the Windows registry,
509,Add a private version to dict,
504,Using the System RNG by default,
503,Simple Repository API,
508,Dependency specification for Python Software Packages,
507,Migrate CPython to Git and GitLab,
506,Adding A Secrets Module To The Standard Library,
505,None-aware operators,
502,String Interpolation - Extended Discussion,
499,,
500,A protocol for delegating datetime methods to their tzinfo implementations,
498,Literal String Interpolation,
497,A standard mechanism for backward compatibility,
496,Environment Markers,
494,Python 3.6 Release Schedule,
501,General purpose string interpolation,
495,Local Time Disambiguation,
493,HTTPS verification migration tools for Python 2.7,
487,Simpler customisation of class creation,
492,Coroutines with async and await syntax,
491,The Wheel Binary Package Format 1.9,
490,Chain exceptions at C level,
489,Multi-phase extension module initialization,
486,Make the Python Launcher aware of virtual environments,
488,Elimination of PYO files,
484,Type Hints,
485,A Function for testing approximate equality,
479,Change StopIteration handling inside generators,
481,"Migrate CPython to Git, Github, and Phabricator",
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
478,Python 3.5 Release Schedule,
477,Backport ensurepip (PEP 453) to Python 2.7,
483,The Theory of Type Hints,
482,Literature Overview for Type Hints,
475,Retry system calls failing with EINTR,
476,Enabling certificate verification by default for stdlib http clients,
473,Adding structured data to built-in exceptions,
471,os.scandir() function – a better and faster directory iterator,
468,Preserving the order of **kwargs in a function.,
474,Creating forge.python.org,
469,Migration of dict iteration code to Python 3,
470,Removing External Hosting Support on PyPI,
467,Minor API improvements for binary sequences,
466,Network Security Enhancements for Python 2.7.x,
463,Exception-catching expressions,
464,Removal of the PyPI Mirror Authenticity API,
461,Adding % formatting to bytes and bytearray,
462,Core development workflow automation for CPython,
465,A dedicated infix operator for matrix multiplication,
460,Add binary interpolation and formatting,
459,Standard Metadata Extensions for Python Software Packages,
458,Secure PyPI downloads with signed repository metadata,
457,Notation For Positional-Only Parameters,
456,Secure and interchangeable hash algorithm,
455,Adding a key-transforming dictionary to collections,
454,Add a new tracemalloc module to trace Python memory allocations,
452,API for Cryptographic Hash Functions v2.0,
451,A ModuleSpec Type for the Import System,
453,Explicit bootstrapping of pip in Python installations,
450,Adding A Statistics Module To The Standard Library,
447,Add __getdescriptor__ method to metaclass,
445,Add new APIs to customize Python memory allocators,
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
446,Make newly created file descriptors non-inheritable,
443,Single-dispatch generic functions,
444,Python Web3 Interface,
448,Additional Unpacking Generalizations,
442,Safe object finalization,
441,Improving Python ZIP Application Support,
439,Inclusion of implicit pip bootstrap in Python installation,
440,Version Identification and Dependency Specification,
437,"A DSL for specifying signatures, annotations and argument converters",
438,Transitioning to release-file hosting on PyPI,
436,The Argument Clinic DSL,
435,Adding an Enum type to the Python standard library,
434,IDLE Enhancement Exception for All Branches,
427,The Wheel Binary Package Format 1.0,
431,Time zone support improvements,
429,Python 3.4 Release Schedule,
433,Easier suppression of file descriptor inheritance,
430,Migrating to Python 3 as the default online documentation,
428,The pathlib module – object-oriented filesystem paths,
432,Restructuring the CPython startup sequence,
426,Metadata for Python Software Packages 2.0,
422,Simpler customisation of class creation,
419,Protecting cleanup statements from interruptions,
424,A method for exposing a length hint,
421,Adding sys.implementation,
423,Naming conventions and recipes related to packaging,
420,Implicit Namespace Packages,
425,Compatibility Tags for Built Distributions,
417,Including mock in the Standard Library,
416,Add a frozendict builtin type,
418,"Add monotonic time, performance counter, and process time functions",
415,Implement context suppression with exception attributes,
414,Explicit Unicode Literal for Python 3.3,
413,Faster evolution of the Python Standard Library,
412,Key-Sharing Dictionary,
411,Provisional packages in the Python standard library,
410,Use decimal.Decimal type for timestamps,
406,Improved Encapsulation of Import State,
405,Python Virtual Environments,
403,General purpose decorator clause (aka “@in” clause),
409,Suppressing exception context,
408,Standard library __preview__ package,
407,New release cycle and introducing long-term support versions,
404,Python 2.8 Un-release Schedule,
402,Simplified Package Layout and Partitioning,
400,Deprecate codecs.StreamReader and codecs.StreamWriter,
398,Python 3.3 Release Schedule,
397,Python launcher for Windows,
395,Qualified Names for Modules,
399,Pure Python/C Accelerator Module Compatibility Requirements,
396,Module Version Numbers,
401,BDFL Retirement,
394,The “python” Command on Unix-Like Systems,
393,Flexible String Representation,
392,Python 3.2 Release Schedule,
391,Dictionary-Based Configuration For Logging,
387,Backwards Compatibility Policy,
386,Changing the version comparison module in Distutils,
390,Static metadata for Distutils,
389,argparse - New Command Line Parsing Module,
385,Migrating from Subversion to Mercurial,
384,Defining a Stable ABI,
379,Adding an Assignment Expression,
381,Mirroring infrastructure for PyPI,
378,Format Specifier for Thousands Separator,
382,Namespace Packages,
380,Syntax for Delegating to a Subgenerator,
383,Non-decodable Bytes in System Character Interfaces,
377,Allow __enter__() methods to skip the statement body,
370,Per user site-packages directory,
374,Choosing a distributed VCS for the Python project,
371,Addition of the multiprocessing package to the standard library,
376,Database of Installed Python Distributions,
375,Python 3.1 Release Schedule,
373,Python 2.7 Release Schedule,
372,Adding an ordered dictionary to collections,
369,Post import hooks,
368,Standard image protocol and class,
367,New Super,
365,Adding the pkg_resources module,
366,Main module explicit relative imports,
364,Transitioning to the Py3K Standard Library,
363,Syntax For Dynamic Attribute Access,
362,Function Signature Object,
361,Python 2.6 and 3.0 Release Schedule,
359,The “make” Statement,
356,Python 2.5 Release Schedule,
360,Externally Maintained Packages,
358,The “bytes” Object,
357,Allowing Any Object to be Used for Slicing,
354,Enumerations in Python,
353,Using ssize_t as the index type,
355,Path - Object oriented filesystem paths,
347,Migrating the Python CVS to Subversion,
350,Codetags,
352,Required Superclass for Exceptions,
349,Allow str() to return unicode strings,
351,The freeze protocol,
345,Metadata for Python Software Packages 1.2,
346,User Defined (”,
348,Exception Reorganization for Python 3.0,
337,Logging Usage in the Standard Library,
338,Executing modules as scripts,
341,Unifying try-except and try-finally,
340,Anonymous Block Statements,
339,Design of the CPython Compiler,
344,Exception Chaining and Embedded Tracebacks,
343,The “with” Statement,
342,Coroutines via Enhanced Generators,
335,Overloadable Boolean Operators,
336,Make None Callable,
332,Byte vectors and String/Unicode Unification,
331,Locale-Independent Float/String Conversions,
330,Python Bytecode Verification,
334,Simple Coroutines via SuspendIteration,
329,Treating Builtins as Constants in the Standard Library,
333,Python Web Server Gateway Interface v1.0,
325,Resource-Release Support for Generators,
328,Imports: Multi-Line and Absolute/Relative,
327,Decimal Data Type,
326,A Case for Top and Bottom Values,
324,subprocess - New process module,
323,Copyable Iterators,
322,Reverse Iteration,
321,Date/Time Parsing and Formatting,
318,Decorators for Functions and Methods,
315,Enhanced While Loop,
313,Adding Roman Numeral Literals to Python,
320,Python 2.4 Release Schedule,
319,Python Synchronize/Asynchronize Block,
317,Eliminate Implicit Exception Instantiation,
314,Metadata for Python Software Packages 1.1,
316,Programming by Contract for Python,
312,Simple Implicit Lambda,
309,Partial Function Application,
308,Conditional Expressions,
311,Simplified Global Interpreter Lock Acquisition for Extensions,
310,Reliable Acquisition/Release Pairs,
307,Extensions to the pickle protocol,
305,CSV File API,
306,How to Change Python’s Grammar,
303,Extend divmod() for Multiple Divisors,
304,Controlling Generation of Bytecode Files,
297,Support for System Upgrades,
302,New Import Hooks,
301,Package Index and Metadata for Distutils,Either “success” or “fail”.
299,Special __main__() function in modules,
298,The Locked Buffer Interface,
296,Adding a bytes Object Type,
291,Backward Compatibility for the Python 2 Standard Library,
288,Generators Attributes and Exceptions,
289,Generator Expressions,
295,Interpretation of multiline string constants,
293,Codec Error Handling Callbacks,
292,Simpler String Substitutions,
290,Code Migration and Modernization,
294,Type Names in the types Module,
283,Python 2.3 Release Schedule,
282,A Logging System,
287,reStructuredText Docstring Format,
286,Enhanced Argument Tuples,
280,Optimizing access to globals,
285,Adding a bool type,
284,Integer for-loops,
281,Loop Counter Iteration with range and xrange,
277,Unicode file name support for Windows NT,
274,Dict Comprehensions,
279,The enumerate() built-in function,
278,Universal Newline Support,
276,Simple Iterator for ints,
275,Switching on Multiple Values,
273,Import Modules from Zip Archives,
272,API for Block Encryption Algorithms v1.0,
270,uniq method for list objects,
271,Prefixing sys.path by command line option,
269,Pgen Module for Python,
268,Extended HTTP functionality and WebDAV,
265,Sorting Dictionaries by Value,
264,Future statements in simulated shells,
267,Optimized Access to Module Namespaces,
266,Optimizing Global Variable/Attribute Access,
263,Defining Python Source Code Encodings,
261,Support for “wide” Unicode characters,
260,Simplify xrange(),
262,A Database of Installed Python Packages,
259,Omit printing newline after newline,
256,Docstring Processing System Framework,
258,Docutils Design Specification,
255,Simple Generators,
257,Docstring Conventions,
254,Making Classes Look More Like Types,
253,Subtyping Built-in Types,
252,Making Types Look More Like Classes,
250,Using site-packages on Windows,
249,Python Database API Specification v2.0,
248,Python Database API Specification v1.0,
251,Python 2.2 Release Schedule,
247,API for Cryptographic Hash Functions,
241,Metadata for Python Software Packages,
244,The ,
242,Numeric Kinds,
240,Adding a Rational Literal to Python,
246,Object Adaptation,
245,Python Interface Syntax,
239,Adding a Rational Type to Python,
243,Module Repository Upload Mechanism,
238,Changing the Division Operator,
236,Back to the __future__,
233,Python Online Help,
232,Function Attributes,
234,Iterators,
237,Unifying Long Integers and Integers,
231,__findattr__(),
235,Import on Case-Insensitive Platforms,
230,Warning Framework,
229,Using Distutils to Build Python,
223,Change the Meaning of ,
226,Python 2.1 Release Schedule,
228,Reworking Python’s Numeric Model,
225,Elementwise/Objectwise Operators,
227,Statically Nested Scopes,
224,Attribute Docstrings,
222,Web Library Enhancements,
220,"Coroutines, Generators, Continuations",
218,Adding a Built-In Set Object Type,
219,Stackless Python,
217,Display Hook for Interactive Use,
215,String Interpolation,
216,Docstring Format,
221,Import As,
214,Extended Print Statement,
212,Loop Counter Iteration,
211,Adding A New Outer Product Operator,
210,Decoupling the Interpreter Loop,
209,Multi-dimensional Arrays,
207,Rich Comparisons,
208,Reworking the Coercion Model,
206,Python Advanced Library,
205,Weak References,
160,Python 1.6 Release Schedule,
203,Augmented Assignments,
204,Range Literals,
202,List Comprehensions,
201,Lockstep Iteration,
200,Python 2.0 Release Schedule,
103,Collecting information about git,
102,Doing Python Micro Releases,
100,Python Unicode Integration,
101,Doing Python Releases 101,
